DevEUI,AppKey,CustVer,FwVer
18504b3271509d32,9049ec19b76d787dec0e985ec32a0cba,02,00.53.A
065052383150a538,8e49f513f76d4077f20e8154832a34b0,02,00.53.A
18504b327a507632,9049ec19bc6d937dec0e985ec82ae7ba,02,00.53.A
065052383250af38,8e49f513f46d4a77f20e8154802a3eb0,02,00.53.A
18504b3262506a32,9049ec19a46d8f7dec0e985ed02afbba,02,00.53.A
18504b324b509f32,9049ec198d6d7a7dec0e985ef92a0eba,02,00.53.A
18504b324b507532,9049ec198d6d907dec0e985ef92ae4ba,02,00.53.A
075052384f507838,8f49f513896d9d77f30e8154fd2ae9b0,02,00.53.A
18504b3249507132,9049ec198f6d947dec0e985efb2ae0ba,02,00.53.A
0750523850507b38,8f49f513966d9e77f30e8154e22aeab0,02,00.53.A
065052383350b438,8e49f513f56d5177f20e8154812a25b0,02,00.53.A
0650523845507d38,8e49f513836d9877f20e8154f72aecb0,02,00.53.A
075052384f50a338,8f49f513896d4677f30e8154fd2a32b0,02,00.53.A
18504b325050b432,9049ec19966d517dec0e985ee22a25ba,02,00.53.A
18504b3261508332,9049ec19a76d667dec0e985ed32a12ba,02,00.53.A
0650523829508638,8e49f513ef6d6377f20e81549b2a17b0,02,00.53.A
075052387650a438,8f49f513b06d4177f30e8154c42a35b0,02,00.53.A
065052382a509338,8e49f513ec6d7677f20e8154982a02b0,02,00.53.A
0650523826509038,8e49f513e06d7577f20e8154942a01b0,02,00.53.A
0750523835509538,8f49f513f36d7077f30e8154872a04b0,02,00.53.A
075052383250a438,8f49f513f46d4177f30e8154802a35b0,02,00.53.A
18504b326050af32,9049ec19a66d4a7dec0e985ed22a3eba,02,00.53.A
075052387550a438,8f49f513b36d4177f30e8154c72a35b0,02,00.53.A
0650523829509838,8e49f513ef6d7d77f20e81549b2a09b0,02,00.53.A
0650523844508c38,8e49f513826d6977f20e8154f62a1db0,02,00.53.A
065052383150a638,8e49f513f76d4377f20e8154832a37b0,02,00.53.A
18504b325050ae32,9049ec19966d4b7dec0e985ee22a3fba,02,00.53.A
0650523826508738,8e49f513e06d6277f20e8154942a16b0,02,00.53.A
0750523831507e38,8f49f513f76d9b77f30e8154832aefb0,02,00.53.A
0650523845508f38,8e49f513836d6a77f20e8154f72a1eb0,02,00.53.A
075052383f509d38,8f49f513f96d7877f30e81548d2a0cb0,02,00.53.A
075052383f506c38,8f49f513f96d8977f30e81548d2afdb0,02,00.53.A
065052384450b538,8e49f513826d5077f20e8154f62a24b0,02,00.53.A
075052383f50b938,8f49f513f96d5c77f30e81548d2a28b0,02,00.53.A
065052383350b538,8e49f513f56d5077f20e8154812a24b0,02,00.53.A
075052384e507138,8f49f513886d9477f30e8154fc2ae0b0,02,00.53.A
0750523850508338,8f49f513966d6677f30e8154e22a12b0,02,00.53.A
18504b3276509632,9049ec19b06d737dec0e985ec42a07ba,02,00.53.A
0750523834508538,8f49f513f26d6077f30e8154862a14b0,02,00.53.A
075052387650ae38,8f49f513b06d4b77f30e8154c42a3fb0,02,00.53.A
065052382650a438,8e49f513e06d4177f20e8154942a35b0,02,00.53.A
0650523846508738,8e49f513806d6277f20e8154f42a16b0,02,00.53.A
0650523844507238,8e49f513826d9777f20e8154f62ae3b0,02,00.53.A
18504b326a508632,9049ec19ac6d637dec0e985ed82a17ba,02,00.53.A
075052384f508a38,8f49f513896d6f77f30e8154fd2a1bb0,02,00.53.A
0650523825508c38,8e49f513e36d6977f20e8154972a1db0,02,00.53.A
0750523828508938,8f49f513ee6d6c77f30e81549a2a18b0,02,00.53.A
0e504b377350a937,8649ec1cb56d4c78fa0e985bc12a38bf,02,00.53.A
0650523845509738,8e49f513836d7277f20e8154f72a06b0,02,00.53.A
065052384650a538,8e49f513806d4077f20e8154f42a34b0,02,00.53.A
075052383650b038,8f49f513f06d5577f30e8154842a21b0,02,00.53.A
075052384e508738,8f49f513886d6277f30e8154fc2a16b0,02,00.53.A
0650523843508a38,8e49f513856d6f77f20e8154f12a1bb0,02,00.53.A
0e504b3757509037,8649ec1c916d7578fa0e985be52a01bf,01.53.A
0e504b3757509037,8649ec1c916d7578fa0e985be52a01bf,01.00.5
